### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Tue Sep 19 07:46:50 2006
Levelengine_version 1


Background_color_1 130 200 230
Background_color_2 210 220 250

Background_image_type_1 1
Background_image_1 game/background/green_junglehills.png 1.000000 1.000000 0.000110

Player 83 193
camera_limits 0 0 20000 -4000

### Massive Objects ###
Sprite ground/green_1/ground/middle.png 7357 32 MASSIVE
Sprite ground/green_1/ground/middle.png 7416 124 MASSIVE
Sprite ground/green_1/ground/middle.png 7416 78 MASSIVE
Sprite ground/green_1/ground/middle.png 7416 32 MASSIVE
Sprite ground/green_1/ground/up.png 0 171 MASSIVE
Sprite ground/green_1/ground/up.png 59 171 MASSIVE
Sprite ground/green_1/ground/up.png 118 171 MASSIVE
Sprite ground/green_1/ground/up.png 177 171 MASSIVE
Sprite ground/green_1/ground/up.png 236 171 MASSIVE
Sprite ground/green_1/ground/up.png 295 171 MASSIVE
Sprite ground/green_1/ground/up.png 354 171 MASSIVE
Sprite ground/green_1/ground/up.png 413 171 MASSIVE
Sprite ground/green_1/ground/up.png 472 171 MASSIVE
Sprite ground/green_1/ground/up.png 531 171 MASSIVE
Sprite ground/green_1/ground/up.png 590 171 MASSIVE
Sprite ground/green_1/ground/up.png 649 171 MASSIVE
Sprite ground/green_1/ground/up.png 708 171 MASSIVE
Sprite ground/green_1/ground/up.png 767 171 MASSIVE
Sprite ground/green_1/ground/up.png 826 171 MASSIVE
Sprite ground/green_1/ground/up.png 885 171 MASSIVE
Sprite ground/green_1/ground/up.png 944 171 MASSIVE
Sprite ground/green_1/ground/up.png 1498 171 MASSIVE
Sprite ground/green_1/ground/up.png 1557 171 MASSIVE
Sprite ground/green_1/ground/up.png 1616 171 MASSIVE
Sprite ground/green_1/ground/up.png 1675 171 MASSIVE
Sprite ground/green_1/ground/up.png 1734 171 MASSIVE
Sprite ground/green_1/ground/up.png 1793 171 MASSIVE
Sprite ground/green_1/ground/up.png 1852 171 MASSIVE
Sprite ground/green_1/ground/up.png 1911 171 MASSIVE
Sprite ground/green_1/ground/up.png 1970 171 MASSIVE
Sprite ground/green_1/ground/up.png 2029 171 MASSIVE
Sprite ground/green_1/ground/up.png 2500 171 MASSIVE
Sprite ground/green_1/ground/up.png 2559 171 MASSIVE
Sprite ground/green_1/ground/up.png 2618 171 MASSIVE
Sprite ground/green_1/ground/up.png 2677 171 MASSIVE
Sprite ground/green_1/ground/up.png 2736 171 MASSIVE
Sprite ground/green_1/ground/up.png 2795 171 MASSIVE
Sprite ground/green_1/ground/up.png 2854 171 MASSIVE
Sprite ground/green_1/ground/up.png 2913 171 MASSIVE
Sprite ground/green_1/ground/up.png 2972 171 MASSIVE
Sprite ground/green_1/ground/up.png 3031 171 MASSIVE
Sprite ground/green_1/ground/up.png 3090 171 MASSIVE
Sprite ground/green_1/ground/up.png 3149 171 MASSIVE
Sprite ground/green_1/ground/up.png 3208 171 MASSIVE
Sprite ground/green_1/ground/up.png 3267 171 MASSIVE
Sprite ground/green_1/ground/up.png 3775 171 MASSIVE
Sprite ground/green_1/ground/up.png 3834 171 MASSIVE
Sprite ground/green_1/ground/up.png 3893 171 MASSIVE
Sprite ground/green_1/ground/up.png 3952 171 MASSIVE
Sprite ground/green_1/ground/up.png 4011 171 MASSIVE
Sprite ground/green_1/ground/up.png 4070 171 MASSIVE
Sprite ground/green_1/ground/up.png 4129 171 MASSIVE
Sprite ground/green_1/ground/up.png 4188 171 MASSIVE
Sprite ground/green_1/ground/up.png 4247 171 MASSIVE
Sprite ground/green_1/ground/up.png 4306 171 MASSIVE
Sprite ground/green_1/ground/up.png 4365 171 MASSIVE
Sprite ground/green_1/ground/up.png 4424 171 MASSIVE
Sprite ground/green_1/ground/up.png 4483 171 MASSIVE
Sprite ground/green_1/ground/up.png 4542 171 MASSIVE
Sprite ground/green_1/ground/up.png 4601 171 MASSIVE
Sprite ground/green_1/ground/up.png 4660 171 MASSIVE
Sprite ground/green_1/ground/up.png 4719 171 MASSIVE
Sprite ground/green_1/ground/up.png 4778 171 MASSIVE
Sprite ground/green_1/ground/up.png 4837 171 MASSIVE
Sprite ground/green_1/ground/up.png 4896 171 MASSIVE
Sprite ground/green_1/ground/up.png 4955 171 MASSIVE
