### Level Saved with Secret Maryo Chronicles V.0.99.2 ###
### Level Saved on the Wed Oct 25 16:05:28 2006
Levelengine_version 1

version 0.1a

Background_color_1 255 255 255
Background_color_2 50 90 200

Background_image_type_1 1
Background_image_1 game/background/green_junglehills.png 1.000000 1.000000 0.000110

Player 963 277
camera_limits 0 0 11000 -4000

### Massive Objects ###
Sprite pipes/blue/ver.png 10430 338 MASSIVE
Sprite ground/green_1/ground/up.png 10896 289 MASSIVE
Sprite ground/green_1/ground/up.png 10837 289 MASSIVE
Sprite ground/green_1/ground/down.png 5559 233 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 774 MASSIVE
Sprite ground/green_1/ground/hill_left_up.png 605 1095 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 728 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 682 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 636 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 590 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 544 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 498 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 452 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 406 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 360 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 314 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 268 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 222 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 176 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 130 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 84 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 38 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 773 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 895 1095 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 727 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 682 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 636 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 590 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 544 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 498 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 452 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 406 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 360 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 314 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 268 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 222 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 176 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 130 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 84 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 38 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 1048 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 1002 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 1048 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 1002 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 957 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 911 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 957 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 911 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 866 MASSIVE
Sprite ground/green_1/ground/hill_left.png 605 820 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 865 MASSIVE
Sprite ground/green_1/ground/hill_right.png 895 819 MASSIVE
Sprite blocks/stone/1.png 2373 395 MASSIVE
Sprite blocks/stone/1.png 1366 395 MASSIVE
Sprite ground/green_1/ground/hill_right.png 2541 212 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 2541 259 MASSIVE
Sprite ground/green_1/ground/hill_right.png 2541 166 MASSIVE
Sprite ground/green_1/ground/hill_right.png 2541 121 MASSIVE
Sprite ground/green_1/ground/hill_right.png 2541 75 MASSIVE
Sprite ground/green_1/ground/hill_right.png 2541 29 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 403 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 357 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 311 MASSIVE
Sprite ground/green_1/ground/down.png 3187 265 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 265 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 219 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 81 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 35 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3246 403 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3246 357 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3246 311 MASSIVE
Sprite ground/green_1/ground/down.png 3128 265 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3076 219 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3076 81 MASSIVE
Sprite game/box/brown1_1.png 3299 291 MASSIVE
Sprite game/box/brown1_1.png 3342 291 MASSIVE
Sprite game/box/brown1_1.png 3385 291 MASSIVE
Sprite game/box/brown1_1.png 3428 291 MASSIVE
Sprite game/box/brown1_1.png 3471 291 MASSIVE
Sprite game/box/brown1_1.png 3514 291 MASSIVE
Sprite game/box/brown1_1.png 3557 291 MASSIVE
Sprite game/box/brown1_1.png 3600 291 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 127 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3076 127 MASSIVE
Sprite ground/green_1/ground/hill_left.png 3015 173 MASSIVE
Sprite ground/green_1/ground/hill_right.png 3076 173 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5447 601 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5447 555 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 601 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 555 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5447 279 MASSIVE
Sprite blocks/stone/1.png 3086 261 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5617 187 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5617 141 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5329 35 MASSIVE
Sprite blocks/stone/1.png 5617 229 MASSIVE
Sprite ground/green_1/ground/down.png 5501 233 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5447 509 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5447 463 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5447 417 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5447 371 MASSIVE
Sprite ground/green_1/ground/hill_left.png 5447 325 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 509 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 463 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 417 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 371 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 325 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 279 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 233 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 187 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 141 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 95 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 49 MASSIVE
Sprite ground/green_1/ground/hill_right.png 5678 3 MASSIVE
Sprite blocks/stone/1.png 5618 99 MASSIVE
Sprite pipes/yellow/up.png 5245 176 MASSIVE
Sprite pipes/yellow/ver.png 5245 126 MASSIVE
Sprite pipes/yellow/ver.png 5245 76 MASSIVE
Sprite pipes/yellow/ver.png 5245 26 MASSIVE
Sprite ground/green_1/ground/up.png 948 259 MASSIVE
Sprite ground/green_1/ground/up.png 1007 259 MASSIVE
Sprite ground/green_1/ground/up.png 1066 259 MASSIVE
Sprite ground/green_1/ground/up.png 1125 259 MASSIVE
Sprite ground/green_1/ground/up.png 1184 259 MASSIVE
Sprite ground/green_1/ground/up.png 1243 259 MASSIVE
Sprite ground/green_1/ground/up.png 1302 259 MASSIVE
Sprite ground/green_1/ground/up.png 1361 259 MASSIVE
Sprite ground/green_1/ground/up.png 1420 259 MASSIVE
Sprite ground/green_1/ground/up.png 1479 259 MASSIVE
Sprite ground/green_1/ground/up.png 1538 259 MASSIVE
Sprite ground/green_1/ground/up.png 1597 259 MASSIVE
Sprite ground/green_1/ground/hill_left_up.png 3015 450 MASSIVE
Sprite ground/green_1/ground/hill_right_up.png 3246 450 MASSIVE
Sprite ground/green_1/ground/up.png 3069 450 MASSIVE
Sprite ground/green_1/ground/up.png 3128 450 MASSIVE
Sprite ground/green_1/ground/up.png 3187 450 MASSIVE
Sprite ground/green_1/ground/up.png 3129 44 MASSIVE
Sprite ground/green_1/ground/up.png 3188 44 MASSIVE
Sprite ground/green_1/ground/up.png 3247 44 MASSIVE
Sprite ground/green_1/ground/up.png 3306 44 MASSIVE
Sprite ground/green_1/ground/up.png 3365 44 MASSIVE
Sprite ground/green_1/ground/up.png 3424 44 MASSIVE
Sprite ground/green_1/ground/up.png 3483 44 MASSIVE
Sprite ground/green_1/ground/up.png 3542 44 MASSIVE
Sprite ground/green_1/ground/up.png 3601 44 MASSIVE
Sprite ground/green_1/ground/up.png 3660 44 MASSIVE
Sprite ground/green_1/ground/up.png 3719 44 MASSIVE
Sprite ground/green_1/ground/up.png 3778 44 MASSIVE
Sprite ground/green_1/ground/up.png 3837 44 MASSIVE
Sprite ground/green_1/ground/up.png 3896 44 MASSIVE
